id,nombres,apellidos,correo,dni,telefono,departamento,categoria,especialidad,rol_principal,roles_secundarios,fecha_ingreso,activo
24,María Elena,Chávez Quispe,me.chavez@unsaac.edu.pe,12345672,984123479,Enfermería,Asociado,Enfermería Geriátrica,DOCENTE,VERIFICADOR,2022-02-18,SI
25,José Antonio,Flores Huamán,ja.flores@unsaac.edu.pe,23456723,984123480,Derecho,Principal,Derecho Civil,DOCENTE,,2020-07-12,SI
26,Ana María,Quispe Mamani,am.quispe@unsaac.edu.pe,34567234,984123481,Educación,Asociado,Educación Inicial,DOCENTE,,2021-01-30,SI
27,Luis Miguel,Chávez Ccanto,lm.chavez@unsaac.edu.pe,45672345,984123482,Ingeniería Ambiental,Principal,Contaminación Ambiental,DOCENTE,VERIFICADOR,2019-04-22,SI
28,María José,Flores Rojas,mj.flores@unsaac.edu.pe,56723456,984123483,Psicología,Asociado,Psicología Organizacional,DOCENTE,,2022-03-15,SI
29,Pedro Pablo,Quispe Huillca,pp.quispe@unsaac.edu.pe,67234560,984123484,Ingeniería Química,Principal,Ingeniería de Procesos,DOCENTE,,2020-10-08,SI
30,Luisa Fernanda,Chávez Salas,lf.chavez@unsaac.edu.pe,12345673,984123485,Contabilidad,Asociado,Contabilidad Gerencial,DOCENTE,VERIFICADOR,2021-05-25,SI
31,Carlos Enrique,Flores Mamani,ce.flores@unsaac.edu.pe,23456734,984123486,Arquitectura,Principal,Urbanismo,DOCENTE,,2019-08-14,SI
32,María del Carmen,Quispe Chávez,mc.quispe@unsaac.edu.pe,34567345,984123487,Medicina Veterinaria,Asociado,Cirugía Veterinaria,DOCENTE,,2022-06-10,SI
33,Juan Carlos,Mamani Quispe,jc.mamani@unsaac.edu.pe,45673456,984123488,Ingeniería de Minas,Principal,Seguridad Minera,DOCENTE,VERIFICADOR,2020-02-28,SI
34,Ana Patricia,Flores Ccama,ap.flores@unsaac.edu.pe,56734560,984123489,Enfermería,Asociado,Enfermería en Cuidados Intensivos,DOCENTE,,2021-09-22,SI
35,Roberto José,Quispe Rojas,rj.quispe@unsaac.edu.pe,12345674,984123490,Ingeniería Civil,Principal,Estructuras Sismorresistentes,DOCENTE,,2019-07-18,SI
36,María Teresa,Chávez Huamán,mt.chavez@unsaac.edu.pe,23456745,984123491,Administración,Asociado,Recursos Humanos,DOCENTE,VERIFICADOR,2022-04-05,SI
37,Luis Alberto,Flores Ccanto,la.flores@unsaac.edu.pe,34567456,984123492,Ingeniería Informática,Principal,Seguridad Informática,DOCENTE,,2020-11-30,SI
38,Ana Cecilia,Quispe Mamani,ac.quispe@unsaac.edu.pe,45674560,984123493,Medicina,Asociado,Neurología,DOCENTE,,2021-06-15,SI
39,Jorge Luis,Huamán Salas,jl.huaman@unsaac.edu.pe,12345675,984123494,Ingeniería Mecánica,Principal,Mecatrónica,DOCENTE,VERIFICADOR,2019-10-22,SI
40,María Elena,Chávez Quispe,me.chavez2@unsaac.edu.pe,23456756,984123495,Enfermería,Asociado,Enfermería en Emergencias,DOCENTE,,2022-01-10,SI
41,Carlos Andrés,Flores Huamán,ca.flores2@unsaac.edu.pe,34567560,984123496,Derecho,Principal,Derecho Constitucional,DOCENTE,,2020-08-25,SI
42,Ana Lucía,Quispe Mamani,al.quispe2@unsaac.edu.pe,12345676,984123497,Educación,Asociado,Educación Secundaria,DOCENTE,VERIFICADOR,2021-03-18,SI
43,Luis Miguel,Chávez Ccama,lm.chavez2@unsaac.edu.pe,23456765,984123498,Ingeniería Ambiental,Principal,Evaluación de Impacto Ambiental,DOCENTE,,2019-12-05,SI
44,María José,Flores Rojas,mj.flores2@unsaac.edu.pe,34567650,984123499,Psicología,Asociado,Psicología Educativa,DOCENTE,,2022-05-20,SI
45,Pedro Pablo,Quispe Huillca,pp.quispe2@unsaac.edu.pe,12345677,984124000,Ingeniería Química,Principal,Ingeniería de Alimentos,DOCENTE,VERIFICADOR,2020-09-14,SI
46,Luisa Fernanda,Chávez Salas,lf.chavez2@unsaac.edu.pe,23456776,984124001,Contabilidad,Asociado,Costos,DOCENTE,,2021-04-30,SI
47,Carlos Enrique,Flores Mamani,ce.flores2@unsaac.edu.pe,34567760,984124002,Arquitectura,Principal,Diseño Sostenible,DOCENTE,,2022-02-15,SI
48,María del Carmen,Quispe Chávez,mc.quispe2@unsaac.edu.pe,12345678,984124003,Medicina Veterinaria,Asociado,Medicina de Animales Mayores,DOCENTE,VERIFICADOR,2020-07-22,SI
49,Juan Carlos,Mamani Quispe,jc.mamani2@unsaac.edu.pe,23456787,984124004,Ingeniería de Minas,Principal,Geomecánica,DOCENTE,,2021-12-10,SI
50,Ana Patricia,Flores Ccama,ap.flores2@unsaac.edu.pe,34567870,984124005,ADMINISTRADOR,,,ADMINISTRADOR,,2020-05-18,SI
